Direct operations (ISIC Section),Direct operations (ISIC Division),Direct operations (ISIC Group/Class),ISIC level used for direct operations,Downstream tier 1 (ISIC Division/Group/Class),ISIC level used for downstream tier 1 link,Downstream tier 2 (ISIC Division/Group/Class),ISIC level used for downstream tier 2 link
"Water supply; sewerage, waste management and remediation activities","Waste collection, treatment and disposal activities; materials recovery",Waste collection,ISIC Group,Civil engineering,ISIC Division,Real estate activities,ISIC Division
"Water supply; sewerage, waste management and remediation activities","Waste collection, treatment and disposal activities; materials recovery",Waste treatment and disposal,ISIC Group,Specialized construction activities,ISIC Division,Real estate activities,ISIC Division
"Water supply; sewerage, waste management and remediation activities","Waste collection, treatment and disposal activities; materials recovery",Waste treatment and disposal,ISIC Group,Construction of buildings,ISIC Division,Real estate activities,ISIC Division
"Water supply; sewerage, waste management and remediation activities","Waste collection, treatment and disposal activities; materials recovery",Waste treatment and disposal,ISIC Group,Civil engineering,ISIC Division,Real estate activities,ISIC Division
"Water supply; sewerage, waste management and remediation activities",Remediation activities and other waste management services,Remediation activities and other waste management services,ISIC Group,Specialized construction activities,ISIC Division,Public administration and defence; compulsory social security,ISIC Division
"Water supply; sewerage, waste management and remediation activities",Remediation activities and other waste management services,Remediation activities and other waste management services,ISIC Group,Construction of buildings,ISIC Division,Public administration and defence; compulsory social security,ISIC Division
"Water supply; sewerage, waste management and remediation activities",Remediation activities and other waste management services,Remediation activities and other waste management services,ISIC Group,Civil engineering,ISIC Division,Public administration and defence; compulsory social security,ISIC Division
"Water supply; sewerage, waste management and remediation activities","Waste collection, treatment and disposal activities; materials recovery",Waste collection,ISIC Group,Specialized construction activities,ISIC Division,Public administration and defence; compulsory social security,ISIC Division
"Water supply; sewerage, waste management and remediation activities","Waste collection, treatment and disposal activities; materials recovery",Waste collection,ISIC Group,Construction of buildings,ISIC Division,Public administration and defence; compulsory social security,ISIC Division
"Water supply; sewerage, waste management and remediation activities","Waste collection, treatment and disposal activities; materials recovery",Waste collection,ISIC Group,Civil engineering,ISIC Division,Public administration and defence; compulsory social security,ISIC Division
"Water supply; sewerage, waste management and remediation activities","Waste collection, treatment and disposal activities; materials recovery",Waste treatment and disposal,ISIC Group,Specialized construction activities,ISIC Division,Public administration and defence; compulsory social security,ISIC Division
"Water supply; sewerage, waste management and remediation activities","Waste collection, treatment and disposal activities; materials recovery",Waste treatment and disposal,ISIC Group,Construction of buildings,ISIC Division,Public administration and defence; compulsory social security,ISIC Division
"Water supply; sewerage, waste management and remediation activities","Waste collection, treatment and disposal activities; materials recovery",Waste treatment and disposal,ISIC Group,Civil engineering,ISIC Division,Public administration and defence; compulsory social security,ISIC Division
"Water supply; sewerage, waste management and remediation activities",Remediation activities and other waste management services,Remediation activities and other waste management services,ISIC Group,Manufacture of basic metals,ISIC Division,"Manufacture of fabricated metal products, except machinery and equipment",ISIC Division
"Water supply; sewerage, waste management and remediation activities",Remediation activities and other waste management services,Remediation activities and other waste management services,ISIC Group,Manufacture of basic metals,ISIC Division,Repair and installation of machinery and equipment,ISIC Division
"Water supply; sewerage, waste management and remediation activities","Waste collection, treatment and disposal activities; materials recovery",Waste collection,ISIC Group,Manufacture of basic metals,ISIC Division,"Manufacture of fabricated metal products, except machinery and equipment",ISIC Division
"Water supply; sewerage, waste management and remediation activities","Waste collection, treatment and disposal activities; materials recovery",Waste collection,ISIC Group,Manufacture of basic metals,ISIC Division,Repair and installation of machinery and equipment,ISIC Division
"Water supply; sewerage, waste management and remediation activities","Waste collection, treatment and disposal activities; materials recovery",Waste treatment and disposal,ISIC Group,Manufacture of basic metals,ISIC Division,"Manufacture of fabricated metal products, except machinery and equipment",ISIC Division
"Water supply; sewerage, waste management and remediation activities","Waste collection, treatment and disposal activities; materials recovery",Waste treatment and disposal,ISIC Group,Manufacture of basic metals,ISIC Division,Repair and installation of machinery and equipment,ISIC Division
"Water supply; sewerage, waste management and remediation activities",Remediation activities and other waste management services,Remediation activities and other waste management services,ISIC Group,Manufacture of basic metals,ISIC Division,"Manufacture of motor vehicles, trailers and semi-trailers",ISIC Division
"Water supply; sewerage, waste management and remediation activities",Remediation activities and other waste management services,Remediation activities and other waste management services,ISIC Group,Manufacture of basic metals,ISIC Division,Manufacture of other transport equipment,ISIC Division
"Water supply; sewerage, waste management and remediation activities","Waste collection, treatment and disposal activities; materials recovery",Waste collection,ISIC Group,Manufacture of basic metals,ISIC Division,"Manufacture of motor vehicles, trailers and semi-trailers",ISIC Division
"Water supply; sewerage, waste management and remediation activities","Waste collection, treatment and disposal activities; materials recovery",Waste collection,ISIC Group,Manufacture of basic metals,ISIC Division,Manufacture of other transport equipment,ISIC Division
"Water supply; sewerage, waste management and remediation activities","Waste collection, treatment and disposal activities; materials recovery",Waste treatment and disposal,ISIC Group,Manufacture of basic metals,ISIC Division,"Manufacture of motor vehicles, trailers and semi-trailers",ISIC Division
"Water supply; sewerage, waste management and remediation activities","Waste collection, treatment and disposal activities; materials recovery",Waste treatment and disposal,ISIC Group,Manufacture of basic metals,ISIC Division,Manufacture of other transport equipment,ISIC Division
"Water supply; sewerage, waste management and remediation activities",Remediation activities and other waste management services,Remediation activities and other waste management services,ISIC Group,Manufacture of basic metals,ISIC Division,Manufacture of basic metals,ISIC Division
"Water supply; sewerage, waste management and remediation activities","Waste collection, treatment and disposal activities; materials recovery",Waste collection,ISIC Group,Manufacture of basic metals,ISIC Division,Manufacture of basic metals,ISIC Division
"Water supply; sewerage, waste management and remediation activities","Waste collection, treatment and disposal activities; materials recovery",Waste treatment and disposal,ISIC Group,Manufacture of basic metals,ISIC Division,Manufacture of basic metals,ISIC Division
"Water supply; sewerage, waste management and remediation activities",Remediation activities and other waste management services,Remediation activities and other waste management services,ISIC Group,Manufacture of basic metals,ISIC Division,Manufacture of electrical equipment,ISIC Division
"Water supply; sewerage, waste management and remediation activities",Remediation activities and other waste management services,Remediation activities and other waste management services,ISIC Group,Manufacture of basic metals,ISIC Division,Manufacture of machinery and equipment n.e.c.,ISIC Division
"Water supply; sewerage, waste management and remediation activities",Remediation activities and other waste management services,Remediation activities and other waste management services,ISIC Group,Manufacture of basic metals,ISIC Division,Repair of computers and personal and household goods,ISIC Division
"Water supply; sewerage, waste management and remediation activities","Waste collection, treatment and disposal activities; materials recovery",Waste collection,ISIC Group,Manufacture of basic metals,ISIC Division,Manufacture of electrical equipment,ISIC Division
"Water supply; sewerage, waste management and remediation activities","Waste collection, treatment and disposal activities; materials recovery",Waste collection,ISIC Group,Manufacture of basic metals,ISIC Division,Manufacture of machinery and equipment n.e.c.,ISIC Division
"Water supply; sewerage, waste management and remediation activities","Waste collection, treatment and disposal activities; materials recovery",Waste collection,ISIC Group,Manufacture of basic metals,ISIC Division,Repair of computers and personal and household goods,ISIC Division
"Water supply; sewerage, waste management and remediation activities","Waste collection, treatment and disposal activities; materials recovery",Waste treatment and disposal,ISIC Group,Manufacture of basic metals,ISIC Division,Manufacture of electrical equipment,ISIC Division
"Water supply; sewerage, waste management and remediation activities","Waste collection, treatment and disposal activities; materials recovery",Waste treatment and disposal,ISIC Group,Manufacture of basic metals,ISIC Division,Manufacture of machinery and equipment n.e.c.,ISIC Division
"Water supply; sewerage, waste management and remediation activities","Waste collection, treatment and disposal activities; materials recovery",Waste treatment and disposal,ISIC Group,Manufacture of basic metals,ISIC Division,Repair of computers and personal and household goods,ISIC Division
"Water supply; sewerage, waste management and remediation activities",Remediation activities and other waste management services,Remediation activities and other waste management services,ISIC Group,Manufacture of basic metals,ISIC Division,Specialized construction activities,ISIC Division
"Water supply; sewerage, waste management and remediation activities",Remediation activities and other waste management services,Remediation activities and other waste management services,ISIC Group,Manufacture of basic metals,ISIC Division,Construction of buildings,ISIC Division
"Water supply; sewerage, waste management and remediation activities",Remediation activities and other waste management services,Remediation activities and other waste management services,ISIC Group,Manufacture of basic metals,ISIC Division,Civil engineering,ISIC Division
"Water supply; sewerage, waste management and remediation activities","Waste collection, treatment and disposal activities; materials recovery",Waste collection,ISIC Group,Manufacture of basic metals,ISIC Division,Specialized construction activities,ISIC Division
"Water supply; sewerage, waste management and remediation activities","Waste collection, treatment and disposal activities; materials recovery",Waste collection,ISIC Group,Manufacture of basic metals,ISIC Division,Construction of buildings,ISIC Division
"Water supply; sewerage, waste management and remediation activities","Waste collection, treatment and disposal activities; materials recovery",Waste collection,ISIC Group,Manufacture of basic metals,ISIC Division,Civil engineering,ISIC Division
"Water supply; sewerage, waste management and remediation activities","Waste collection, treatment and disposal activities; materials recovery",Waste treatment and disposal,ISIC Group,Manufacture of basic metals,ISIC Division,Specialized construction activities,ISIC Division
"Water supply; sewerage, waste management and remediation activities","Waste collection, treatment and disposal activities; materials recovery",Waste treatment and disposal,ISIC Group,Manufacture of basic metals,ISIC Division,Construction of buildings,ISIC Division
"Water supply; sewerage, waste management and remediation activities","Waste collection, treatment and disposal activities; materials recovery",Waste treatment and disposal,ISIC Group,Manufacture of basic metals,ISIC Division,Civil engineering,ISIC Division
"Water supply; sewerage, waste management and remediation activities",Remediation activities and other waste management services,Remediation activities and other waste management services,ISIC Group,Specialized construction activities,ISIC Division,Postal and courier activities,ISIC Division
"Water supply; sewerage, waste management and remediation activities",Remediation activities and other waste management services,Remediation activities and other waste management services,ISIC Group,Specialized construction activities,ISIC Division,Telecommunications,ISIC Division
"Water supply; sewerage, waste management and remediation activities",Remediation activities and other waste management services,Remediation activities and other waste management services,ISIC Group,Construction of buildings,ISIC Division,Postal and courier activities,ISIC Division
"Water supply; sewerage, waste management and remediation activities",Remediation activities and other waste management services,Remediation activities and other waste management services,ISIC Group,Construction of buildings,ISIC Division,Telecommunications,ISIC Division
"Water supply; sewerage, waste management and remediation activities",Remediation activities and other waste management services,Remediation activities and other waste management services,ISIC Group,Civil engineering,ISIC Division,Postal and courier activities,ISIC Division
"Water supply; sewerage, waste management and remediation activities",Remediation activities and other waste management services,Remediation activities and other waste management services,ISIC Group,Civil engineering,ISIC Division,Telecommunications,ISIC Division
"Water supply; sewerage, waste management and remediation activities","Waste collection, treatment and disposal activities; materials recovery",Waste collection,ISIC Group,Specialized construction activities,ISIC Division,Postal and courier activities,ISIC Division
"Water supply; sewerage, waste management and remediation activities","Waste collection, treatment and disposal activities; materials recovery",Waste collection,ISIC Group,Specialized construction activities,ISIC Division,Telecommunications,ISIC Division
"Water supply; sewerage, waste management and remediation activities","Waste collection, treatment and disposal activities; materials recovery",Waste collection,ISIC Group,Construction of buildings,ISIC Division,Postal and courier activities,ISIC Division
"Water supply; sewerage, waste management and remediation activities","Waste collection, treatment and disposal activities; materials recovery",Waste collection,ISIC Group,Construction of buildings,ISIC Division,Telecommunications,ISIC Division
"Water supply; sewerage, waste management and remediation activities","Waste collection, treatment and disposal activities; materials recovery",Waste collection,ISIC Group,Civil engineering,ISIC Division,Postal and courier activities,ISIC Division
"Water supply; sewerage, waste management and remediation activities","Waste collection, treatment and disposal activities; materials recovery",Waste collection,ISIC Group,Civil engineering,ISIC Division,Telecommunications,ISIC Division
"Water supply; sewerage, waste management and remediation activities","Waste collection, treatment and disposal activities; materials recovery",Waste treatment and disposal,ISIC Group,Specialized construction activities,ISIC Division,Postal and courier activities,ISIC Division
"Water supply; sewerage, waste management and remediation activities","Waste collection, treatment and disposal activities; materials recovery",Waste treatment and disposal,ISIC Group,Specialized construction activities,ISIC Division,Telecommunications,ISIC Division
"Water supply; sewerage, waste management and remediation activities","Waste collection, treatment and disposal activities; materials recovery",Waste treatment and disposal,ISIC Group,Construction of buildings,ISIC Division,Postal and courier activities,ISIC Division
"Water supply; sewerage, waste management and remediation activities","Waste collection, treatment and disposal activities; materials recovery",Waste treatment and disposal,ISIC Group,Construction of buildings,ISIC Division,Telecommunications,ISIC Division
"Water supply; sewerage, waste management and remediation activities","Waste collection, treatment and disposal activities; materials recovery",Waste treatment and disposal,ISIC Group,Civil engineering,ISIC Division,Postal and courier activities,ISIC Division
"Water supply; sewerage, waste management and remediation activities","Waste collection, treatment and disposal activities; materials recovery",Waste treatment and disposal,ISIC Group,Civil engineering,ISIC Division,Telecommunications,ISIC Division
"Water supply; sewerage, waste management and remediation activities",Remediation activities and other waste management services,Remediation activities and other waste management services,ISIC Group,Remediation activities and other waste management services,ISIC Division,Remediation activities and other waste management services,ISIC Division
"Water supply; sewerage, waste management and remediation activities",Remediation activities and other waste management services,Remediation activities and other waste management services,ISIC Group,"Waste collection, treatment and disposal activities; materials recovery",ISIC Division,"Waste collection, treatment and disposal activities; materials recovery",ISIC Division
"Water supply; sewerage, waste management and remediation activities","Waste collection, treatment and disposal activities; materials recovery",Waste collection,ISIC Group,Remediation activities and other waste management services,ISIC Division,Remediation activities and other waste management services,ISIC Division
"Water supply; sewerage, waste management and remediation activities","Waste collection, treatment and disposal activities; materials recovery",Waste collection,ISIC Group,"Waste collection, treatment and disposal activities; materials recovery",ISIC Division,"Waste collection, treatment and disposal activities; materials recovery",ISIC Division
"Water supply; sewerage, waste management and remediation activities","Waste collection, treatment and disposal activities; materials recovery",Waste treatment and disposal,ISIC Group,Remediation activities and other waste management services,ISIC Division,Remediation activities and other waste management services,ISIC Division
"Water supply; sewerage, waste management and remediation activities","Waste collection, treatment and disposal activities; materials recovery",Waste treatment and disposal,ISIC Group,"Waste collection, treatment and disposal activities; materials recovery",ISIC Division,"Waste collection, treatment and disposal activities; materials recovery",ISIC Division
"Water supply; sewerage, waste management and remediation activities",Remediation activities and other waste management services,Remediation activities and other waste management services,ISIC Group,Remediation activities and other waste management services,ISIC Division,Public administration and defence; compulsory social security,ISIC Division
"Water supply; sewerage, waste management and remediation activities",Remediation activities and other waste management services,Remediation activities and other waste management services,ISIC Group,"Waste collection, treatment and disposal activities; materials recovery",ISIC Division,Public administration and defence; compulsory social security,ISIC Division
"Water supply; sewerage, waste management and remediation activities","Waste collection, treatment and disposal activities; materials recovery",Waste collection,ISIC Group,Remediation activities and other waste management services,ISIC Division,Public administration and defence; compulsory social security,ISIC Division
"Water supply; sewerage, waste management and remediation activities","Waste collection, treatment and disposal activities; materials recovery",Waste collection,ISIC Group,"Waste collection, treatment and disposal activities; materials recovery",ISIC Division,Public administration and defence; compulsory social security,ISIC Division
"Water supply; sewerage, waste management and remediation activities","Waste collection, treatment and disposal activities; materials recovery",Waste treatment and disposal,ISIC Group,Remediation activities and other waste management services,ISIC Division,Public administration and defence; compulsory social security,ISIC Division
"Water supply; sewerage, waste management and remediation activities","Waste collection, treatment and disposal activities; materials recovery",Waste treatment and disposal,ISIC Group,"Waste collection, treatment and disposal activities; materials recovery",ISIC Division,Public administration and defence; compulsory social security,ISIC Division
"Water supply; sewerage, waste management and remediation activities",Remediation activities and other waste management services,Remediation activities and other waste management services,ISIC Group,Remediation activities and other waste management services,ISIC Division,Human health activities,ISIC Division
"Water supply; sewerage, waste management and remediation activities",Remediation activities and other waste management services,Remediation activities and other waste management services,ISIC Group,Remediation activities and other waste management services,ISIC Division,Residential care activities,ISIC Division
"Water supply; sewerage, waste management and remediation activities",Remediation activities and other waste management services,Remediation activities and other waste management services,ISIC Group,Remediation activities and other waste management services,ISIC Division,Social work activities without accommodation,ISIC Division
"Water supply; sewerage, waste management and remediation activities",Remediation activities and other waste management services,Remediation activities and other waste management services,ISIC Group,Remediation activities and other waste management services,ISIC Division,Veterinary activities,ISIC Division
"Water supply; sewerage, waste management and remediation activities",Remediation activities and other waste management services,Remediation activities and other waste management services,ISIC Group,"Waste collection, treatment and disposal activities; materials recovery",ISIC Division,Human health activities,ISIC Division
"Water supply; sewerage, waste management and remediation activities",Remediation activities and other waste management services,Remediation activities and other waste management services,ISIC Group,"Waste collection, treatment and disposal activities; materials recovery",ISIC Division,Residential care activities,ISIC Division
"Water supply; sewerage, waste management and remediation activities",Remediation activities and other waste management services,Remediation activities and other waste management services,ISIC Group,"Waste collection, treatment and disposal activities; materials recovery",ISIC Division,Social work activities without accommodation,ISIC Division
"Water supply; sewerage, waste management and remediation activities",Remediation activities and other waste management services,Remediation activities and other waste management services,ISIC Group,"Waste collection, treatment and disposal activities; materials recovery",ISIC Division,Veterinary activities,ISIC Division
"Water supply; sewerage, waste management and remediation activities","Waste collection, treatment and disposal activities; materials recovery",Waste collection,ISIC Group,Remediation activities and other waste management services,ISIC Division,Human health activities,ISIC Division
